model_history_log
epoch;accuracy;loss;val_accuracy;val_loss
0;0.4098663628101349;1.576022744178772;0.7954785823822021;0.6464570760726929
1;0.8719167709350586;0.4004504084587097;0.9091485142707825;0.2958928942680359
2;0.9296466708183289;0.2191370576620102;0.9292203783988953;0.23034074902534485
3;0.9469180703163147;0.164145365357399;0.9465455412864685;0.17806614935398102
4;0.9559499025344849;0.1340157389640808;0.9454891085624695;0.1782153993844986
5;0.9621295928955078;0.11595195531845093;0.9528840184211731;0.16380053758621216
6;0.9652458429336548;0.10239867120981216;0.9541516900062561;0.14386236667633057
7;0.9702635407447815;0.08333989232778549;0.9423198699951172;0.1944585144519806
8;0.9719537496566772;0.08416653424501419;0.9505599141120911;0.1816289871931076
9;0.9759678840637207;0.0670831948518753;0.9520388841629028;0.18242990970611572
10;0.97565096616745;0.07130619883537292;0.9575322270393372;0.18184852600097656
11;0.9823060035705566;0.052256401628255844;0.9590111970901489;0.17148207128047943
12;0.9779221415519714;0.065079465508461;0.9518275856971741;0.1868959218263626
13;0.9829926490783691;0.050690747797489166;0.9503486156463623;0.21826264262199402
14;0.9840490221977234;0.04914770647883415;0.9611240029335022;0.15645235776901245
15;0.9854222536087036;0.0450100302696228;0.9541516900062561;0.175685316324234
16;0.9865314364433289;0.044504035264253616;0.9516162872314453;0.17382508516311646
